ID_Vehiculo,Marca,Modelo,A̱o,Precio
1,Nissan,health,2023,35726.51
2,Chevrolet,body,2021,16531.16
3,Chevrolet,across,2017,45615.4
4,Toyota,wonder,2017,26713.35
5,Honda,under,2020,42798.94
6,Honda,could,2019,58103.65
7,Toyota,wonder,2022,21829.24
8,Nissan,to,2022,24274.95
9,Chevrolet,themselves,2015,50076.66
10,Chevrolet,employee,2019,17729.68
11,Chevrolet,even,2018,54843.36
12,Honda,dinner,2022,35213.69
13,Nissan,artist,2015,39015.03
14,Toyota,statement,2020,21104.01
15,Honda,son,2019,46355.05
16,Chevrolet,film,2023,52153.91
17,Chevrolet,scene,2023,41675.99
18,Toyota,themselves,2023,15643.17
19,Nissan,try,2021,23488.55
20,Chevrolet,ground,2022,15184.64
21,Chevrolet,shoulder,2015,33865.75
22,Ford,where,2016,55513.64
23,Ford,form,2018,36345.66
24,Chevrolet,short,2019,48810.93
25,Ford,could,2015,56215.92
26,Nissan,within,2016,27091.22
27,Chevrolet,himself,2015,28157.8
28,Toyota,behavior,2017,48472.53
29,Chevrolet,partner,2015,24869.81
30,Honda,require,2021,20285.61
31,Honda,cover,2018,50189.73
32,Toyota,peace,2019,54710.7
33,Nissan,east,2021,26940.86
34,Nissan,support,2016,58831.32
35,Honda,worry,2021,54221.66
36,Nissan,sport,2019,23559.75
37,Chevrolet,southern,2016,59824.56
38,Ford,you,2016,53223.27
39,Chevrolet,time,2018,55658.65
40,Honda,usually,2017,42332.46
41,Nissan,same,2021,29976.13
42,Honda,as,2020,42806.69
43,Chevrolet,official,2017,39040.05
44,Honda,scene,2023,56996.46
45,Honda,talk,2018,27715.66
46,Nissan,child,2015,21391.63
47,Ford,difference,2022,29568.65
48,Nissan,clear,2017,33874.47
49,Honda,imagine,2018,21927.19
50,Honda,challenge,2018,42646.93
